date,description,credit,debit,balance,reference
02/06/2024,NEFT-UTIB44653619723857-RAZORPAY,35372.0,,135372.0,UTIB44653619723857
03/06/2024,NEFT-UTIB39368338891392-RAZORPAY,6969.0,,142341.0,UTIB39368338891392
03/06/2024,NEFT-UTIB08427638452464-RAZORPAY,,38734.0,103607.0,UTIB08427638452464
04/06/2024,NEFT-UTIB66593674253153-RAZORPAY,17966.0,,121573.0,UTIB66593674253153
05/06/2024,NEFT-UTIB68472035969522-RAZORPAY,10265.0,,131838.0,UTIB68472035969522
05/06/2024,NEFT-UTIB47066493013038-RAZORPAY,30304.53,,162142.53,UTIB47066493013038
06/06/2024,NEFT-UTIB55531525724342-RAZORPAY,12656.1,,174798.63,UTIB55531525724342
07/06/2024,NEFT-UTIB92449614172697-RAZORPAY-SETL,17178.79,,191977.42,UTIB92449614172697
07/06/2024,NEFT-UTIB12141098499897-RAZORPAY,2059.0,,194036.42,UTIB12141098499897
07/06/2024,NEFT-UTIB65545837232812-RAZORPAY,,30207.0,163829.42,UTIB65545837232812
07/06/2024,NEFT-UTIB66331010982664-RAZORPAY,3091.29,,166920.71,UTIB66331010982664
07/06/2024,NEFT-UTIB44864481179819-RAZORPAY,9738.62,,176659.33,UTIB44864481179819
08/06/2024,NEFT-UTIB58277529957181-RAZORPAY,43120.0,,219779.33,UTIB58277529957181
08/06/2024,NEFT-UTIB26068941037138-RAZORPAY,3210.0,,222989.33,UTIB26068941037138
09/06/2024,NEFT-UTIB20419026831067-RAZORPAY,42105.0,,265094.33,UTIB20419026831067
09/06/2024,NEFT-UTIB16093274151039-RAZORPAY,4759.95,,269854.28,UTIB16093274151039
09/06/2024,NEFT-UTIB35220629802621-RAZORPAY,1476.0,,271330.28,UTIB35220629802621
09/06/2024,NEFT-UTIB33384514905029-RAZORPAY,49512.0,,320842.28,UTIB33384514905029
10/06/2024,NEFT-UTIB51477511783807-RAZORPAY,39287.0,,360129.28,UTIB51477511783807
11/06/2024,NEFT-UTIB99452007431616-RAZORPAY,40766.66,,400895.94,UTIB99452007431616
11/06/2024,NEFT-UTIB10823901375805-RAZORPAY,32717.0,,433612.94,UTIB10823901375805
12/06/2024,NEFT-UTIB28624194236977-RAZORPAY,47659.0,,481271.94,UTIB28624194236977
13/06/2024,NEFT-UTIB58731926211764-RAZORPAY,47294.0,,528565.94,UTIB58731926211764
13/06/2024,NEFT-UTIB06635613697813-RAZORPAY,,7233.0,521332.94,UTIB06635613697813
14/06/2024,NEFT-UTIB26983702514630-RAZORPAY,,9173.0,512159.94,UTIB26983702514630
14/06/2024,NEFT-UTIB93452129541338-RAZORPAY,4969.0,,517128.94,UTIB93452129541338
15/06/2024,NEFT-UTIB64499673413748-RAZORPAY,15972.0,,533100.94,UTIB64499673413748
15/06/2024,NEFT-UTIB66395930340367-RAZORPAY,,26848.0,506252.94,UTIB66395930340367
15/06/2024,NEFT-UTIB70695096448649-RAZORPAY,5681.68,,511934.62,UTIB70695096448649
15/06/2024,NEFT-UTIB61072534665263-RAZORPAY,13049.59,,524984.21,UTIB61072534665263
16/06/2024,NEFT-UTIB77786276116149-RAZORPAY,31415.67,,556399.88,UTIB77786276116149
17/06/2024,IMPS/RZP/SETL/444989...,26899.82,,583299.7,UTIB44498927117625
18/06/2024,IMPS/RZP/SETL/112624...,5965.81,,589265.51,UTIB11262485082544
18/06/2024,NEFT-UTIB60846433592018-RAZORPAY,27322.61,,616588.12,UTIB60846433592018
19/06/2024,NEFT-UTIB55775674175565-RAZORPAY,23637.67,,640225.79,UTIB55775674175565
20/06/2024,NEFT-UTIB01564308658841-RAZORPAY,,33644.0,606581.79,UTIB01564308658841
20/06/2024,NEFT-UTIB81171781247939-RAZORPAY,19340.54,,625922.33,UTIB81171781247939
21/06/2024,NEFT-UTIB98204605765443-RAZORPAY,13648.12,,639570.45,UTIB98204605765443
21/06/2024,NEFT-UTIB00872222658964-RAZORPAY,4393.8,,643964.25,UTIB00872222658964
